Gmt time,Open,High,Low,Close,Volume
22.02.2015 00:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 01:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 02:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 03:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 04:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 05:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 06:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 07:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 08:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 09:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 10:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 11:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 12:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 13:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 14:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 15:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 16:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 17:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 18:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 19:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 20:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 21:00:00.000,118.971,118.971,118.971,118.971,0
22.02.2015 22:00:00.000,119.069,119.091,119.003,119.066,2322.9399
22.02.2015 23:00:00.000,119.066,119.101,119.041,119.077,2345.79
23.02.2015 00:00:00.000,119.076,119.158,118.996,118.998,3117.4399
23.02.2015 01:00:00.000,118.998,119.107,118.998,119.084,2408.5701
23.02.2015 02:00:00.000,119.083,119.097,118.998,119.036,2530.6299
23.02.2015 03:00:00.000,119.036,119.073,118.966,118.981,2103.3101
23.02.2015 04:00:00.000,118.983,118.995,118.886,118.897,2660.48
23.02.2015 05:00:00.000,118.897,119.014,118.881,119.007,2363.5601
23.02.2015 06:00:00.000,119.006,119.006,118.913,118.988,2089.9199
23.02.2015 07:00:00.000,118.989,119.288,118.982,119.209,5344.6201
23.02.2015 08:00:00.000,119.209,119.352,119.154,119.302,5438.5698
